Title,Release Year,IMDb Rating,Director(s),Cast,Plot Summary
The Boy and the Heron,2023,7.6,Hayao Miyazaki,"Soma Santoki, Masaki Suda, Kô Shibasaki, Aimyon","In the wake of his mother's death and his father's remarriage, a headstrong boy named Mahito ventures into a dreamlike world shared by both the living and the dead."
The Fall Guy,2024,,David Leitch,"Ryan Gosling, Emily Blunt, Hannah Waddingham, Aaron Taylor-Johnson","Colt Seavers is a stuntman who left the business a year earlier to focus on both his physical and mental health. He's drafted back into service when the star of a mega-budget studio movie, which is being directed by his ex, goes missing."
Atlas,2024,,Brad Peyton,"Sterling K. Brown, Jennifer Lopez, Simu Liu, Lana Parrilla","A bleak-sounding future, where an AI soldier has determined that the only way to end war is to end humanity."
Aquaman and the Lost Kingdom,2023,5.6,James Wan,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Amber Heard","Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom."
The First Omen,2024,,Arkasha Stevenson,"Nell Tiger Free, Bill Nighy, Charles Dance, Ralph Ineson","A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
Irish Wish,2024,5.3,Janeen Damian,"Lindsay Lohan, Ed Speleers, Alexander Vlahos, Ayesha Curry","When the love of Maddie's life gets engaged to her best friend, she puts her feelings aside to be a bridesmaid at their wedding in Ireland."
20 Days in Mariupol,2023,8.6,Mstyslav Chernov,"Mstyslav Chernov, Evgeniy Maloletka, Liudmyla Amelkina, Zhanna Homa","As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities."
Late Night with the Devil,2023,7.5,,"David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi","A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms."
The Iron Claw,2023,7.7,Sean Durkin,"Zac Efron, Jeremy Allen White, Harris Dickinson, Maura Tierney","The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s."
Monkey Man,2024,8.1,Dev Patel,"Dev Patel, Sharlto Copley, Pitobash, Sobhita Dhulipala",An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systemically victimize the poor and powerless.
All of Us Strangers,2023,7.8,Andrew Haigh,"Andrew Scott, Paul Mescal, Carter John Grout, Jamie Bell",A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.
Interstellar,2014,8.7,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Immaculate,2024,5.7,Michael Mohan,"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli","Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets."
Fear,1996,6.2,James Foley,"Mark Wahlberg, Reese Witherspoon, William Petersen, Amy Brenneman","When Nicole met David; handsome, charming, affectionate, he was everything. It seemed perfect, but soon she sees that David has a darker side. And his adoration turns to obsession, their dream into a nightmare, and her love into fear."
Perfect Days,2023,7.9,Wim Wenders,"Koji Yakusho, Tokio Emoto, Arisa Nakano, Miyako Tanaka","Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself."
The Idea of You,2024,6.1,Michael Showalter,"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo","Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
One Day,2011,7,Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson, Tom Mison","After spending the night together on the eve of their college graduation, Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, and sometimes not."
Civil War,2024,7.5,Alex Garland,"Nick Offerman, Kirsten Dunst, Wagner Moura, Jefferson White","A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
Nyad,2023,7.1,,"Annette Bening, Jodie Foster, Anne Marie Kempf, Carolyn McCormick","The remarkable true story of athlete Diana Nyad who, at the age of 60 and with the help of her best friend and coach, commits to achieving her life-long dream: a 110-mile open ocean swim from Cuba to Florida."
The Thundermans Return,2024,5.1,Trevor Kirschner,"Kira Kosarin, Jack Griffo, Addison Riecke, Diego Velazquez","It centers on the family as they begin a new era of superhero crimefighting. When one save goes wrong, the Thundermans are sent back to Hiddenville."
Inside Out 2,2024,,Kelsey Mann,"Amy Poehler, Phyllis Smith, Lewis Black, Tony Hale","Follow Riley, in her teenage years, encountering new emotions."
The American Society of Magical Negroes,2024,2.6,Kobi Libii,"Justice Smith, Zachary Barton, Anthony Coons, Robbie Troy","A young man, Aren, is recruited into a secret society of magical Black people who dedicate their lives to a cause of utmost importance: making white people's lives easier."
Merry Christmas,2024,7.2,Sriram Raghavan,"Katrina Kaif, Vijay Sethupathi, Tinnu Anand, Pari Sharma",Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.
Society of the Snow,2023,7.8,J.A. Bayona,"Enzo Vogrincic, Agustín Pardella, Matías Recalt, Esteban Bigliardi",The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.
The Greatest Hits,2024,7.8,Ned Benson,"Lucy Boynton, David Corenswet, Justin H. Min, Retta","A love story centering on the connection between music and memory and how they transport us, sometimes literally."
Code 8,2019,6.1,Jeff Chan,"Kari Matchett, Robbie Amell, Penny Eizenga, Lawrence Bayne",A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.
The Creator,2023,6.8,Gareth Edwards,"John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney","Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child."
Once Upon a Time... in Hollywood,2019,7.6,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Winnie-the-Pooh: Blood and Honey 2,2024,,Rhys Frake-Waterfield,"Scott Chambers, Tallulah Evans, Ryan Oliva, Lewis Santer","Not wanting to live in the shadows any longer, Winnie-the-Pooh, Piglet, Owl and Tigger take their fight to the town of Ashdown, leaving a bloody trail of death and mayhem in their wake."
The Crow,1994,7.5,Alex Proyas,"Brandon Lee, Michael Wincott, Rochelle Davis, Ernie Hudson",A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.
The Shawshank Redemption,1994,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
Everything Everywhere All at Once,2022,7.8,,"Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
The Favourite,2018,7.5,Yorgos Lanthimos,"Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult","In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne."
Arthur the King,2024,6.9,Simon Cellan Jones,"Mark Wahlberg, Simu Liu, Juliet Rylance, Nathalie Emmanuel",An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
Alone,2020,6.2,John Hyams,"Jules Willcox, Marc Menchaca, Anthony Heald, Jonathan Rosenthal","A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her."
Animal,2023,6.3,Sandeep Reddy Vanga,"Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna",The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.
The Dark Knight,2008,9,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Kung Fu Panda,2008,7.6,,"Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman","To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
La La Land,2016,8,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
One Life,2023,7.6,James Hawes,"Anthony Hopkins, Lena Olin, Johnny Flynn, Helena Bonham Carter","Sir Nicholas 'Nicky' Winton, a young London broker who, in the months leading up to World War II, rescued over 600 children from Nazi-occupied Czechoslovakia."
Bob Marley: One Love,2024,6.5,Reinaldo Marcus Green,"Kingsley Ben-Adir, Lashana Lynch, James Norton, Tosin Cole","The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music."
